Atividade_principal,Data_situacao,Nome,Uf,Telefone,Email,Atividades_secundarias,Qsa,Situacao,Bairro,Logradouro,Numero,Cep,Municipio,Abertura,Natureza_juridica,Fantasia,Cnpj,Ultima_atualizacao,Status,Tipo,Complemento,Efr,Motivo_situacao,Situacao_especial,Data_situacao_especial,Capital_social,Extra
Produção de sementes certificadas exceto de forrageiras para pasto - 01.41-5-01 - ,03/11/2005,ARMAZEM 1,AGROMEN SEMENTES AGRICOLAS LTDA,MG,(038) 3561-9361,agromen@agromen.com.br,Comércio atacadista de sementes flores plantas e gramas - 46.23-1-06 - ,ATIVA,ZONA RURAL,FAZ RIO FORMOSO,S/NR,39.280-000,BURITIZEIRO,03/09/1982,206-2 - Sociedade Empresária Limitada,50.899.293/0003-20,2018-01-03T19:18:26.040Z,OK,FILIAL,,,,,,0.00,,
03/11/2008,EXTINCAO P/ ENC LIQ VOLUNTARIA,AGROMEN SEMENTES AGRICOLAS LTDA,(034) 2631-755,BAIXADA,05/07/2000,206-2 - Sociedade Empresária Limitada,50.899.293/0016-45,2018-01-01T14:15:52.290Z,OK,FILIAL,,,,,,,,,,,,,00.00-0-00 - ******** - ,00.00-0-00 - Não informada - ,0.00,,
Comércio varejista de outros produtos não especificados anteriormente - 47.89-0-99 - ,16/11/2002,225,AGROPAIVA LTDA,MG,49-Sócio-Administrador - PAULO CESAR VIEIRA DE PAIVA - 22-Sócio - ENI NARCISO DE SOUSA PAIVA - ,ATIVA,FATIMA,AV SENADOR MELO VIANA,211,38.442-192,ARAGUARI,20/06/1983,206-2 - Sociedade Empresária Limitada,18.109.520/0001-00,2017-12-21T23:35:33.075Z,OK,MATRIZ,,,,,,,,00.00-0-00 - Não informada - ,0.00,
Comércio atacadista de mercadorias em geral com predominância de insumos agropecuários - 46.92-3-00 - ,03/11/2005,AGROPECUARIA BOA SAFRA LTDA,MG,(31) 3771-4008,Comércio varejista de ferragens e ferramentas - 47.44-0-01 - Comércio varejista de outros produtos não especificados anteriormente - 47.89-0-99 - Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação - 47.89-0-04 - Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos - 46.11-7-00 - Representantes comerciais e agentes do comércio de combustíveis minerais produtos siderúrgicos e químicos - 46.12-5-00 - Comércio atacadista de alimentos para animais - 46.23-1-09 - Comércio atacadista de ferragens e ferramentas - 46.72-9-00 - Comércio atacadista de animais vivos - 46.23-1-01 - Comércio varejista de madeira e artefatos - 47.44-0-02 - Comércio varejista de móveis - 47.54-7-01 - Comércio varejista de produtos saneantes domissanitários - 47.89-0-05 - Atividades paisagísticas - 81.30-3-00 - Comércio varejista de materiais de construção em geral - 47.44-0-99 - Pintura para sinalização em pistas rodoviárias e aeroportos - 42.11-1-02 - Obras de urbanização - ruas praças e calçadas - 42.13-8-00 - Comércio varejista de plantas e flores naturais - 47.89-0-02 - Serviço de preparação de terreno cultivo e colheita - 01.61-0-03 - Imunização e controle de pragas urbanas - 81.22-2-00 - Comércio atacadista de máquinas aparelhos e equipamentos para uso agropecuário; partes e peças - 46.61-3-00 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente - 46.49-4-99 - Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho - 46.42-7-02 - Comércio atacadista de materiais de construção em geral - 46.79-6-99 - Comércio varejista de materiais hidráulicos - 47.44-0-03 - Comércio varejista de tintas e materiais para pintura - 47.41-5-00 - Comércio atacadista de produtos de higiene pessoal - 46.46-0-02 - Comércio atacadista de material elétrico - 46.73-7-00 - Comércio atacadista de tecidos - 46.41-9-01 - Comércio atacadista de calçados - 46.43-5-01 - ,49-Sócio-Administrador - RONALDO ALVES COSTA - 49-Sócio-Administrador - LUCIA APARECIDA LOPES DA SILVA - ,ATIVA,MANOA,R PROFESSOR ABEYLARD,2106,35.700-069,SETE LAGOAS,28/05/1992,206-2 - Sociedade Empresária Limitada,41.937.665/0001-03,2017-12-31T23:34:01.214Z,OK,MATRIZ,,,,,,,,100000.00,










